wavenumber,absorption_coef,beta
2125,4.45E-08,802
2130,5.22E-08,761
2135,6.46E-08,722
2140,7.75E-08,679
2145,9.03E-08,646
2150,1.06E-07,609
2155,1.21E-07,562
2160,1.37E-07,511
2165,1.57E-07,472
2170,1.75E-07,436
2175,2.01E-07,406
2180,2.3E-07,377
2185,2.59E-07,355
2190,2.95E-07,338
2195,3.26E-07,319
2200,3.66E-07,299
2205,4.05E-07,278
2210,4.47E-07,255
2215,4.92E-07,233
2220,5.34E-07,208
2225,5.84E-07,184
2230,6.24E-07,149
2235,6.67E-07,107
2240,7.14E-07,66
2245,7.26E-07,25
2250,7.54E-07,213
2255,7.84E-07,249
2260,8.09E-07,282
2265,8.42E-07,2104
2270,8.62E-07,2119
2275,8.87E-07,2130
2280,9.11E-07,2139
2285,9.36E-07,2144
2290,9.76E-07,2146
2295,1.03E-06,2146
2300,1.11E-06,2147
2305,1.23E-06,2148
2310,1.39E-06,2150
2315,1.61E-06,2153
2320,1.76E-06,2160
2325,1.94E-06,2169
2330,1.97E-06,2181
2335,1.87E-06,2189
2340,1.75E-06,2195
2345,1.56E-06,2200
2350,1.42E-06,2205
2355,1.35E-06,2209
2360,1.32E-06,2211
2365,1.29E-06,2210
2370,1.29E-06,2210
2375,1.29E-06,2209
2380,1.3E-06,2205
2385,1.32E-06,2199
2390,1.33E-06,2190
2395,1.34E-06,2180
2400,1.35E-06,2168
2405,1.33E-06,2157
2410,1.31E-06,2143
2415,1.29E-06,2126
2420,1.24E-06,2108
2425,1.2E-06,289
2430,1.16E-06,263
2435,1.1E-06,232
2440,1.04E-06,1
2445,9.96E-07,35
2450,9.38E-07,65
2455,8.63E-07,95
2460,7.98E-07,121
2465,7.26E-07,141
2470,6.55E-07,152
2475,5.94E-07,161
2480,5.35E-07,164
2485,4.74E-07,164
2490,4.24E-07,161
2495,3.77E-07,155
2500,3.33E-07,148
2505,2.96E-07,143
2510,2.63E-07,137
2515,2.34E-07,133
2520,2.08E-07,131
2525,1.85E-07,133
2530,1.67E-07,139
2535,1.47E-07,150
2540,1.32E-07,165
2545,1.2E-07,187
2550,1.09E-07,213
2555,9.85E-08,248
2560,9.08E-08,284
2565,8.18E-08,321
2570,7.56E-08,372
2575,6.85E-08,449
2580,6.14E-08,514
2585,5.83E-08,569
2590,5.77E-08,609
2595,5E-08,642
2600,4.32E-08,673
